,Column,Desc
0,AMT_CREDIT,Credit amount of the loan
1,DAYS_REGISTRATION,How many days before the application did client change his registration
2,REGION_RATING_CLIENT_W_CITY,"Our rating of the region where client lives with taking city into account (1,2,3)"
3,EXT_SOURCE_2,Normalized score from external data source
4,LIVE_CITY_NOT_WORK_CITY,"Flag if client's contact address does not match work address (1=different, 0=same, at city level)"
5,OBS_30_CNT_SOCIAL_CIRCLE,How many observation of client's social surroundings with observable 30 DPD (days past due) default
6,DEF_60_CNT_SOCIAL_CIRCLE,How many observation of client's social surroundings defaulted on 60 (days past due) DPD
7,HOUR_APPR_PROCESS_START,Approximately at what hour did the client apply for the loan
8,CNT_CHILDREN,Number of children the client has
9,REGION_RATING_CLIENT,"Our rating of the region where client lives (1,2,3)"
10,DAYS_LAST_PHONE_CHANGE,How many days before application did client change phone
11,REG_CITY_NOT_WORK_CITY,"Flag if client's permanent address does not match work address (1=different, 0=same, at city level)"
12,DEF_30_CNT_SOCIAL_CIRCLE,How many observation of client's social surroundings defaulted on 30 DPD (days past due) 
13,SK_ID_CURR,ID of loan in our sample
14,REG_REGION_NOT_LIVE_REGION,"Flag if client's permanent address does not match contact address (1=different, 0=same, at region level)"
15,CODE_GENDER,Gender of the client
16,CNT_FAM_MEMBERS,How many family members does client have
17,REGION_POPULATION_RELATIVE,Normalized population of region where client lives (higher number means the client lives in more populated region)
18,REG_REGION_NOT_WORK_REGION,"Flag if client's permanent address does not match work address (1=different, 0=same, at region level)"
19,DAYS_ID_PUBLISH,How many days before the application did client change the identity document with which he applied for the loan
20,AMT_INCOME_TOTAL,Income of the client
21,AMT_GOODS_PRICE,For consumer loans it is the price of the goods for which the loan is given
22,REG_CITY_NOT_LIVE_CITY,"Flag if client's permanent address does not match contact address (1=different, 0=same, at city level)"
23,LIVE_REGION_NOT_WORK_REGION,"Flag if client's contact address does not match work address (1=different, 0=same, at region level)"
24,DAYS_BIRTH,Client's age in days at the time of application
25,OBS_60_CNT_SOCIAL_CIRCLE,How many observation of client's social surroundings with observable 60 DPD (days past due) default
